type	numberOfInstances	percentOfTotalPlannedChanges	numberOfAffectedFiles	percentOfAffectedFiles	averageChangePerFile
arabic	109	0.1163287	109	0.1546099	0.1546099
missing	96	0.1024546	90	0.1276596	0.1361702
arithmetical	55	0.058698	55	0.0780142	0.0780142
question	57	0.0608324	57	0.0808511	0.0808511
vocalization	38	0.040555	38	0.0539007	0.0539007
syriac	69	0.0736393	68	0.0964539	0.0978723
checkSyriac	74	0.0789755	70	0.0992908	0.1049645
greek	50	0.0533618	49	0.0695035	0.070922
coptic	35	0.0373533	34	0.0482269	0.0496454
uri	272	0.2902882	267	0.3787234	0.3858156
reconstruction	27	0.0288154	27	0.0382979	0.0382979
table	22	0.0234792	22	0.0312057	0.0312057
consultation	15	0.0160085	12	0.0170213	0.0212766
palimpsest	10	0.0106724	8	0.0113475	0.0141844
msparts	1	0.0010672	1	0.0014184	0.0014184
consult-phys	1	0.0010672	1	0.0014184	0.0014184
Syriac	1	0.0010672	1	0.0014184	0.0014184
file	1	0.0010672	1	0.0014184	0.0014184
hebrew	1	0.0010672	1	0.0014184	0.0014184
consult-ms	1	0.0010672	1	0.0014184	0.0014184
author	1	0.0010672	1	0.0014184	0.0014184
checkArabic	1	0.0010672	1	0.0014184	0.0014184
